wallet_address,total_estimated_airdrop,current_points,initial_airdrop_amount
9KA1HkS4zrDKq4XvLGmH5RdvDuVvMDoR93oNmRp9x84U,0,100,0
9QN9K6FzgR4D7tzgacKFTURoMkgzDV4Ukuzevrbftp1J,205,205,0
9RA3RmzWgQb4apkCbEYYLhEdqNYmKYNX1c8RhVQDxWoV,928720.6872533086,100,0
9UJM4xhwVmD3voUXNkJfar5zR9mZ3jrBHpuowrcfGE6c,1857441.3745066172,200,0
9WVtJHVNGL2oVo7orvVd1n2pJjRxeA9F9FEfqjbfAvxM,2273382.216387564,355,0
9Zhf47geowdYMHBhMQ1R96ckz2473Cr4oAk1A99ThZkQ,928720.6872533086,100,0
9bXDRTfAEeZtS5KgcmmU3gJghDexhqQtskXV4be7CdXs,928720.6872533086,100,0
9byVqhcDQ6jfnavPu63A5w1fEde2JqrvGrd5Xb2bkiVU,1940141.8529944976,305,0
9cvVBvXGaYUZpVM6dTzYyxaxKwAhSoryEUq8iFs6NiQo,2266849.717441972,355,0
9eaBjLWb4L7YCk8om6FSdvyc9muG9gr4kHWZ2amhCgRi,0,100,0
9enKSJxY7SDj9ApNj5GEtXTQD8B84K6ZFRfbMUDJnNcs,22308210.306106336,1325,10002661.2
9hhkUsh9vkRhQXfWHkmV4Jn25wnBPDtJs8U5rAZvnXCA,225842572.47863942,2325,204249816.5
9iJ45DreNTDtru3uaBXFdyguSZ4vPCQQLXBaCWPAT9Be,8923654.316949151,730,2143993.3
9kZkoEoUijt378RPmMyjR3FBvuUX3M2UdE4YvaQgdQLw,205,205,0
9q9cHKhvBP1VYfNEozxUxhunz5KZ1r4R5kjJGQ6guMk5,0,100,0
9qVPMhnXVbr7TD1EoeKbutpm8AoNm7yBzB8JJZ7PYEPS,928720.6872533086,100,0
9qmoR3Dg2xDYZ9a8uZcmmUAtHGENGuFH5Qr2EdjRWiCE,928720.6872533086,100,0
9r6F7dhh4Cza29tvd6uznJ6PzPy6BrqaNCoJR3vQc43a,7556180.6941218795,1155,0
9rxhP8dzwGYXwncRFTDyAyjuxaGpRmJ3FtkBzdpH43AN,928720.6872533086,100,0
9sD5iQojWnLaDpZ2kDe4YPvMLRtjdQHGNnp9WU22NjGr,28100456.375033997,1355,18887783
9xUBdGMUpi8ZVfZtS1QuyFAR9GxALasFdG99L5XQrPra,2368237.7524959366,255,0
9y3Kz8KEPT5Gnu97MmZKuwKoY4sARh36FbuZQynwJX8t,0,100,0
A9KDw9CoJVLc1ajBBEZ5BVhVzCsL76a6sVNfy1dH36qC,1671697.2370559555,180,0
A9WJoGyKahsXiodaiaEW7QbzJ2BXyqPN2jgxeTzR35fU,5066697.970629209,505,376658.5
ABHVsoEg22fo69mxu12VAEseVdpfRR9uW9jyVoZ9v1di,3477256136.341537,17365,3315983789
AMU6JWsDf5xMzVvQ3ciwpsRMiEhqLySGRNmpLH7W2qGc,21924108.187253308,100,20995387.5
